FN,8974
XEC,8965
COG,8893
ARMK,8860
UI,8854
CART,8799
AIZ,8733
DCI,8732
MOS,8645
MTZ,8615
PNW,8613
EHC,8590
HAS,8573
KBR,8564
COTY,8514
SEIC,8503
GPK,8484
HSIC,8474
WCC,8406
COKE,8383
BIO,8374
TPX,8370
BWXT,8337
FRT,8335
RRC,8320
PAYC,8303
X,8290
AVLR,8278
LSCC,8257
GNRC,8238
PPC,8227
SF,8221
CHE,8161
ORI,8144
NYT,8123
MTCH,8114
CR,8088
CGNX,8032
OHI,8026
EGP,8023
AYI,7984
RGLD,7980
GNTX,7909
FHN,7908
RBC,7900
PRI,7838
CZR,7817
SFM,7812
EXP,7788
PCTY,7786
MTSI,7720
NNN,7714
EVR,7713
FLR,7707
GME,7680
AXTA,7674
AGCO,7664
EXAS,7627
KNX,7592
SWN,7577
INGR,7571
BWA,7562
MKTX,7555
GMED,7510
AAL,7506
FCN,7482
GL,7374
HQY,7341
WSC,7320
COLD,7291
ITCI,7271
PEN,7261
LBRDA,7258
LBRDK,7258
NCLH,7255
HRB,7228
JAZZ,7223
VOYA,7216
MASI,7185
MHK,7181
NOV,7163
MSA,7160
WEX,7151
AIT,7146
UFPI,7115
SSD,7111
IIVI,7105
AGNC,7073
LAD,7071
CLF,7056
OGE,7045
MTDR,7009
FMC,6984
WBS,6955
ENSG,6953
RGEN,6948
KEX,6947
OSK,6944
CBSH,6924
ARW,6923
AM,6920
HLI,6881
SPSC,6881
BERY,6878
ETSY,6864
ROKU,6845
ATI,6828
AN,6785
H,6776
CIEN,6763
MIDD,6726
BRX,6716
AA,6716
RHI,6714
CRUS,6709
MTN,6708
LBTYA,6631
LBTYK,6631
SUM,6579
LEA,6578
WAL,6575
IVZ,6563
NSIT,6559
ESI,6558
AAON,6528
BPMC,6504
STAG,6471
RLI,6468
LSTR,6452
ALSN,6446
PE,6411
LFUS,6398
PVH,6390
SPXC,6386
LPX,6373
EXEL,6344
HALO,6320
PLNT,6301
FIVE,6295
FR,6282
FRPT,6282
ROLL,6270
MLI,6264
CFR,6246
CMA,6242
BECN,6215
NE,6206
FLS,6202
HCP,6195
SAIL,6186
NEWR,6178
ADC,6177
POST,6177
BPOP,6141
STWD,6136
ADT,6135
HR,6113
ACHC,6105
AQUA,6104
GTLS,6097
IBP,6092
ZION,6092
RMBS,6092
AVAV,6052
MTH,6044
BFAM,6017
QTS,6000
RHP,5987
SRC,5980
IONS,5950
ESNT,5945
OLN,5934
TMHC,5927
MAT,5915
MUR,5908
NOVT,5898
MDGL,5897
SAIC,5895
AXS,5895
PNFP,5890
CLGX,5889
CMC,5886
OLLI,5875
SITE,5873
ETRN,5850
CACC,5849
WH,5806
BCPC,5796
SMAR,5792
ST,5785
WTFC,5769
TKR,5768
OMF,5751
VKTX,5736
G,5729
BOKF,5728
LNTH,5727
UNVR,5701
TRNO,5671
MARA,5661
SON,5659
PB,5655
GKOS,5641
CWST,5631
DAR,5626
CHH,5614
SIGI,5585
MTG,5561
LYFT,5561
FAF,5561
BMI,5556
SSB,5538
CYTK,5534
IAA,5514
VMI,5492
SNV,5456
SRCL,5440
ALTR,5416
SWCH,5410
VVV,5408
VFC,5373
CBT,5355
COOP,5352
SEE,5329
XRAY,5328
SM,5321
JHG,5314
CIT,5306
MMS,5300
WPX,5291
HXL,5289
S,5283
KBH,5278
SWX,5271
R,5241
WWE,5240
DBX,5240
LNC,5237
VAL,5235
ALK,5222
PBF,5218
DDS,5213
FSS,5197
LANC,5190
PSB,5178
TNET,5173
BYD,5167
WTS,5147
CVLT,5134
APPF,5134
W,5129
M,5091
ONB,5091
TDW,5086
KRYS,5075
STL,5066
BC,5053
MDU,5052
QLYS,5051
AL,5047
CRS,5034
NEU,5021
WHR,5013
BCC,5008
AWI,4991
NXST,4987
ATKR,4986
CADE,4980
FCFS,4971
NFG,4968
DY,4964
THO,4963
EEFT,4917
EXLS,4906
APLS,4895
EXPO,4895
VRNS,4873
MOD,4872
INSP,4863
IDA,4853
EPRT,4847
COLM,4847
ASH,4845
VNO,4840
PEGA,4838
AMG,4835
KRG,4803
FLO,4782
AVT,4760
ABG,4756
TENB,4737
CLDR,4737
MDC,4727
PRSP,4726
ITRI,4721
DLB,4718
TMDX,4713
GATX,4711
UGI,4710
ESGR,4705
SLGN,4698
MMSI,4690
FG,4684
AJRD,4683
HLNE,4682
FNB,4652
GRA,4638
FIZZ,4617
HOMB,4613
RDN,4596
WTM,4583
WIRE,4569
FORM,4519
HOG,4513
AEL,4493
SLM,4491
ACLS,4490
RYN,4466
BCO,4466
FELE,4457
SEM,4450
PII,4441
NAV,4439
THG,4432
MSM,4432
POR,4429
ORA,4428
SJI,4418
TRTN,4380
MGY,4373
VRRM,4371
OZK,4366
HAE,4361
RDNT,4322
FUL,4286
CRVL,4280
RH,4270
RIG,4262
UBSI,4252
MAIN,4248
ALKS,4232
SKY,4227
AGO,4224
POWI,4216
MATX,4214
GPI,4204
GTES,4193
PI,4189
HGV,4168
URBN,4154
ENS,4145
VNE,4139
NJR,4137
CSWI,4134
WU,4124
ACA,4117
AEO,4100
SIG,4086
IRT,4085
AEIS,4082
GBCI,4082
GOLF,4080
LOPE,4079
HUN,4024
FFIN,4020
WRI,4018
ASGN,4013
PTEN,3981
BOOT,3963
BLKB,3960
ELY,3941
COLB,3940
HHC,3940
UMBF,3932
IPGP,3930
ITGR,3930
BDC,3919
HWC,3882
AAP,3826
ACIW,3824
AMR,3823
KTB,3817
CBZ,3814
SLAB,3813
IAC,3786
SANM,3770
NOG,3764
CAR,3762
SLG,3750
KMPR,3749
BOX,3733
CPRI,3733
GH,3732
KRC,3715
HRI,3711
WK,3696
SHAK,3693
CNX,3687
MC,3684
STRL,3680
SMG,3658
OTTR,3658
PRMW,3646
SYNA,3636
ALTM,3634
ALE,3633
NEOG,3633
BKH,3626
CC,3618
TEX,3618
AXSM,3610
SMPL,3609
TPH,3595
IPAR,3585
CNS,3583
CTRE,3576
PRGO,3576
JWN,3569
NSP,3562
SPR,3551
APLE,3543
INST,3542
GMS,3532
CRNX,3526
HASI,3519
YETI,3502
RCM,3491
QTWO,3483
CUZ,3482
TFSL,3481
KFY,3474
WHD,3456
MHO,3453
WBT,3438
OGS,3434
AXNX,3433
VLY,3432
LBRT,3428
MAN,3421
HCC,3413
CRC,3410
WEN,3407
ENV,3407
CMD,3401
IBOC,3400
SR,3383
LITE,3380
DIOD,3373
PNM,3327
SBRA,3313
RUSHA,3312
RUSHB,3312
RARE,3309
ABCB,3306
GT,3282
SFBS,3277
KAI,3271
HP,3257
JJSF,3242
PBH,3238
DXC,3236
GFF,3234
LAZ,3225
TDC,3222
PCH,3221
CIM,3221
WD,3220
SXT,3212
SHOO,3205
CRK,3200
SGRY,3194
IRDM,3189
JBT,3186
SKYW,3180
HL,3175
ABM,3173
AYX,3172
PK,3155
RIOT,3151
JOE,3142
CNR,3141
RRR,3129
BE,3125
MAC,3121
ARWR,3117
KWR,3114
BXMT,3112
VCTR,3108
ALRM,3099
NPO,3093
IOSP,3086
UAA,3079
EPR,3076
NSA,3074
ASB,3054
VAC,3050
EAT,3048
IIPR,3045
WDFC,3045
SITC,3043
CTB,3040
AX,3039
NWE,3038
FIVN,3037
TROX,3016
ARNC,3009
AMED,2999
LRN,2988
SEB,2979
IRTC,2978
CORT,2977
FOLD,2974
SKT,2968
LTHM,2967
GEF,2967
CWEN,2965
KTOS,2964
CVCO,2960
MLHR,2958
IDCC,2956
HI,2955
CNO,2951
UCBI,2939
AROC,2933
FULT,2932
DNLI,2921
DOOR,2920
BHVN,2913
VC,2908
NHI,2907
BRC,2899
PRIM,2892
ICUI,2888
MPW,2886
FBP,2884
SAM,2876
BTU,2873
LIVN,2867
MCY,2865
DORM,2863
TWST,2853
PLXS,2833
REZI,2825
RPAI,2825
PENN,2823
RUN,2817
AUB,2816
APAM,2816
NWL,2815
CEIX,2813
BL,2805
VSH,2799
ARCH,2796
UFS,2796
GPOR,2786
TNDM,2777
VCRA,2773
GERN,2770
BANF,2770
UA,2752
MGEE,2750
USM,2741
FTDR,2737
GVA,2736
CWT,2734
MWA,2722
MTX,2721
IESC,2721
CVI,2719
INSW,2718
PTCT,2715
ESE,2706
HIW,2700
TCBI,2699
FIBK,2696
STRA,2695
CVA,2695
AVA,2672
VECO,2672
WLL,2670
TCO,2654
ABR,2647
WSFS,2645
KLIC,2645
AIN,2636
HUBG,2630
LCII,2629
ICFI,2629
LXP,2622
CCS,2622
GRBK,2620
CATY,2619
AWR,2617
PRFT,2616
SPB,2614
GNW,2613
NYCB,2610
WOR,2600
CALM,2596
BHF,2596
MGRC,2593
MTOR,2586
AGYS,2584
CCOI,2572
NNI,2561
TGTX,2561
FHB,2561
SIX,2547
ROAD,2532
EVH,2518
RYTM,2510
DREUF,2498
ARCB,2491
PJT,2482
UEC,2477
KOS,2476
SATS,2463
GHC,2463
ACAD,2452
PSMT,2440
YELP,2437
QDEL,2432
NTLA,2428
LEVI,2427
HOME,2426
TRN,2422
ADMA,2420
AGIO,2418
KSS,2414
BATRA,2414
BATRK,2414
PGTI,2404
AIR,2395
CUB,2383
AZZ,2382
ATGE,2379
AMEH,2379
CPE,2378
PATK,2376
HELE,2373
GCP,2369
UNF,2349
MYRG,2348
CNK,2344
CRI,2342
PSEC,2335
CPK,2332
RNG,2325
OSIS,2323
CALX,2309
VRTV,2306
FL,2304
ROG,2303
CLDX,2301
ADNT,2299
CBU,2290
RPD,2289
TRIP,2288
WERN,2286
CVBF,2285
IART,2277
OUT,2268
BOH,2266
IOVA,2261
ESTE,2251
CARG,2246
ASPN,2245
FCPT,2244
LGIH,2236
CENT,2217
CENTA,2217
CXP,2215
MTRN,2215
DEI,2213
PRSC,2207
LAUR,2203
CDE,2196
UCTT,2196
PRK,2194
SEDG,2191
MYGN,2175
ROCK,2168
CNMD,2168
OII,2168
WAFD,2162
VRNT,2161
TGNA,2157
OAS,2145
ALG,2141
PRGS,2139
EVTC,2137
UE,2133
TGLS,2086
BKU,2086
AMRX,2083
CAKE,2079
VIRT,2072
EQC,2070
SHO,2069
ENR,2068
HNI,2066
BANC,2060
SFNC,2059
VSTO,2052
AMN,2048
PDCO,2047
PD,2045
CABO,2037
PPBI,2036
POWL,2036
TDS,2032
